问题:辩证法所要回答的是世界是否可知的问题。（    ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】辩证法即思辩与实证相统一的方法。辩证法是关于对立统一、斗争和运动、普遍联系和变化发展的哲学学说。马克思主义认为，辩证法是关于普遍联系的科学，是在肯定矛盾的基础上关于发展的学说，是关于自然、人类社会和思维发展的最一般规律的科学。辩证法主张用联系的、发展的、全面的观点看问题，与此对立的观点是形而上学，形而上学坚持用孤立的、静止的、片面的观点看问题，因此，辩证法回答的是世界的状况是怎样的问题。世界是否可知是划分可知论与不可知论的依据。故表述错误。","
来源:2013年6月四川省宜宾市事业单位考试《公共科目》题（精选）第1题","
出错率：72.37%","
易错选项：0" 
问题:下列关于哲学说法错误的是（  ）。 ,,"
选项：['A', '.', '哲', '学', '是', '系', '统', '化', '、', '理', '论', '化', '的', '世', '界', '观', '\n', 'B', '.', '哲', '学', '是', '对', '自', '然', '知', '识', '、', '社', '会', '知', '识', '和', '思', '维', '知', '识', '的', '概', '括', '和', '总', '结', '\n', 'C', '.', '哲', '学', '是', '“', '科', '学', '之', '科', '学', '”', '\n', 'D', '.', '哲', '学', '是', '世', '界', '观', '和', '方', '法', '论', '的', '有', '机', '统', '一', '\n']","
答案：2","
【解析】哲学是一种方法，而不是一套主张、命题或理论。哲学的研究是基于理性的思考，寻求能做出经过审视的假设且不跳脱信念或者只是纯粹的类推。马克思主义哲学科学地阐明了哲学与具体科学是一般与个别、共性与个性的关系，二者既相区别又相联系。具体科学以世界某一领域的特殊规律为研究对象，哲学则以整个世界的最一般规律为研究对象；哲学以具体科学的成果为基础，并随着具体科学的发展而发展。把哲学说成是“科学之科学”，这既限制了具体科学的发展也使哲学背上沉重的包袱而不利于发展。本题为选非题，故正确答案为C。","
来源:2014年陕西省商洛市事业单位考试《公共基础知识》题（精选）第47题","
出错率：54.01%","
易错选项：1"
问题:荀子曰：“天有常道矣，地有常数矣，君子有常体矣。”下列诗句中与此寓意相近的有（    ）。,,"
选项：['A', '.', '沉', '舟', '侧', '畔', '千', '帆', '过', '，', '病', '树', '前', '头', '万', '木', '春', '\n', 'B', '.', '蝉', '噪', '林', '逾', '静', '，', '鸟', '鸣', '山', '更', '幽', '\n', 'C', '.', '天', '行', '有', '常', '，', '不', '为', '尧', '存', '，', '不', '为', '桀', '亡', '\n', 'D', '.', '草', '木', '本', '无', '意', '，', '荣', '枯', '自', '有', '时', '\n']","
答案：2,3","
【解析】本题考查马克思主义哲学常识。题干的意思是：荀子说过：“上天有经久不变的规律，大地有经久不变的法则，君子有经久不变的规矩。”其蕴含的哲学道理是事物运动是有规律的，不以人的意志为转移。A项错误，“沉舟侧畔千帆过，病树前头万木春”出自唐代刘禹锡所作的《酬乐天扬州初逢席上见赠》，意思是沉船旁边有很多船经过，枯树旁边有很多茂盛的树木，比喻新生势力锐不可当，体现的哲学道理是事物是永恒发展的，新事物不断代替旧事物。B项错误，“蝉噪林逾静，鸟鸣山更幽”出自南朝梁诗人王籍所作的《入若耶溪》，意思是蝉声高唱，树林却显得格外宁静；鸟鸣声声，深山里倒比往常更清幽，体现的哲学道理是矛盾的对立统一（“静”与“动”的对立统一）。C项正确，“天行有常，不为尧存，不为桀亡”出自《荀子·天论》，意思是大自然的运行有其自身规律，大自然不因尧的圣明而存在，也不因桀的暴虐而消亡，体现了事物运动是有规律的，不以人的意志为转移。D项正确，“草木本无意，荣枯自有时”出自唐代孟浩然所作的《江上寄山阴崔少府国辅》，意思是草木枯荣都有自己的时令，有规律可循，体现了事物运动是有规律的，不以人的意志为转移。故正确答案为CD。","
来源:2019年甘肃省基层服务项目考试《公共基础知识》题第45题","
出错率：62.78%","
易错选项：0"
问题:思维与存在的关系是（  ）。 ,,"
选项：['A', '.', '唯', '物', '主', '义', '的', '基', '本', '问', '题', '\n', 'B', '.', '全', '部', '哲', '学', '的', '基', '本', '问', '题', '\n', 'C', '.', '近', '代', '以', '前', '哲', '学', '的', '基', '本', '问', '题', '\n', 'D', '.', '欧', '洲', '古', '代', '哲', '学', '的', '基', '本', '问', '题', '\n']","
答案：1","
【解析】哲学根本问题又称哲学的基本问题、哲学的最高问题，它是指思维和存在、意识和物质的关系问题。是区分唯物主义和唯心主义两种对立的哲学体系的依据。恩格斯在总结哲学史的基础上明确指出：“全部哲学，特别是近代哲学的重大的基本问题，是思维和存在的关系问题。”故正确答案为B。","
来源:2014年陕西省商洛市事业单位考试《公共基础知识》题（精选）第48题","
出错率：62.3%","
易错选项：0"
问题:爱因斯坦说过：“认识论要是不同科学接触，就会成为空架子。科学要是没有认识论——要是这真是可以设想的——就是原始的、混乱的东西。”这说明哲学与具体科学的关系是（    ）。,,"
选项：['A', '.', '哲', '学', '与', '科', '学', '不', '能', '相', '互', '干', '涉', '\n', 'B', '.', '哲', '学', '作', '为', '科', '学', '之', '全', '体', '是', '“', '科', '学', '之', '科', '学', '”', '\n', 'C', '.', '哲', '学', '就', '是', '科', '学', '，', '科', '学', '也', '就', '是', '科', '学', '\n', 'D', '.', '具', '体', '科', '学', '是', '哲', '学', '的', '基', '础', '，', '哲', '学', '是', '具', '体', '科', '学', '的', '指', '导', '\n']","
答案：3","
【解析】本题考查马克思主义哲学。A、B、C项错误，哲学是对自然知识、社会知识、思维知识的概括和总结；具体科学是研究某一领域的特殊规律。哲学不但不等同于各门具体科学，更不能是凌驾于具体科学之上的所谓“科学之科学”。具体科学是哲学的基础，哲学给具体哲学以世界观和方法论指导。D项正确，哲学以具体科学的成果为基础，并随着具体科学的发展而发展。哲学所概括的关于自然、社会和思维的普遍规律的理论，对具体科学的研究又提供了世界观和方法论的指导。题干反映了具体科学是哲学的基础，哲学是具体科学的指导。故正确答案为D。","
来源:2018年11月四川省成都市事业单位考试题第18题","
出错率：95.52%","
易错选项：1"
问题:下列属于客观唯心主义代表的是（  ）。,,"
选项：['A', '.', '孟', '子', '\n', 'B', '.', '庄', '子', '\n', 'C', '.', '贝', '克', '莱', '\n', 'D', '.', '黑', '格', '尔', '\n']","
答案：3","
【解析】本题考查马克思主义哲学。客观唯心主义的哲学观点认为某种客观的精神或原则是先于物质世界并独立于物质世界而存在的本体，而物质世界则不过是这种客观精神或原则的外化或表现，前者是本原的、第一性的，后者是派生的、第二性的。A项错误，孟子的思想是复杂的，其思想主要以唯物主义的成分居多，包含许多朴素的唯物主义思想。《孟子》：“天将降大任于是人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为，所以动心忍性，曾（增）益其所不能。”指出人们必须经历困难、挫折、失败，不断取得教训，受到锻炼，然后才能得之。客观世界有其自己的规律，是人所不能违反的。孟子的“仁政思想”，体现的是一种唯物史观的观点。B项错误，庄子的哲学观点是“万物与我为一”，他认为我和万物是一体的，即我存在世界就存在，属于主观唯心主义。C项错误，贝克莱是英国主观唯心主义哲学家，提出“存在就是被感知”，他认为，一个事物之所以存在，是因为人们感知到了它，而没有被感知到的一切（精神除外）都是不存在的。D项正确，黑格尔是德国19世纪唯心论哲学的代表人物之一。他把“绝对精神”看作世界的本原，认为现实的物质世界只是这些客观精神的外化和表现。故黑格尔是客观唯心主义者。故正确答案为D。","
来源:2018年甘肃省选拔普通高校毕业生到基层工作考试《公共基础知识》题（精选）第6题","
出错率：39.21%","
易错选项：1"
问题:“心诚则灵，心不诚则不灵”，下列与其反映的哲学道理不相同的是（    ）。,,"
选项：['A', '.', '不', '怕', '想', '不', '到', '，', '就', '怕', '做', '不', '到', '\n', 'B', '.', '人', '有', '多', '大', '胆', '，', '地', '有', '多', '大', '产', '\n', 'C', '.', '我', '思', '故', '我', '在', '\n', 'D', '.', '心', '外', '无', '物', '\n']","
答案：0","
【解析】本题考查马克思主义哲学。“心诚则灵，心不诚则不灵”属于主观唯心主义观点，主观唯心主义认为万事万物都是“我”的感觉、观念、意志的产物，没有“我”就没有世界。A项错误，“不怕想不到，就怕做不到”强调的是“做”的现实可能性，即要考虑客观现实因素。同时也说明发挥主观能动性必须尊重客观规律，属于唯物主义观点。B项正确，“人有多大胆，地有多大产”过分强调人的意志的重要性，而忽略了客观规律和客观实际，属于主观唯心主义观点。C项正确，“我思故我在”的意思是我无法否认自己的存在，因为当我否认、怀疑时，我就已经存在，属于主观唯心主义观点。D项正确，“心外无物”是明代思想家王阳明提出的心学思想，认为人的所思所想之外没有任何事物，感受不到的东西就不存在，属于主观唯心主义观点。本题为选非题，故正确答案为A。","
来源:2018年11月四川省成都市事业单位考试题第19题","
出错率：66.8%","
易错选项：3"
问题:唐朝诗人张若虚《春江花月夜》中的“人生代代无穷已，江月年年只相似”两句诗蕴涵着时间一维性的哲理。下列诗句中蕴涵相同哲理的是：（  ）,,"
选项：['A', '.', '闲', '云', '潭', '影', '日', '悠', '悠', '，', '物', '换', '星', '移', '几', '度', '秋', '\n', 'B', '.', '花', '开', '堪', '折', '直', '须', '折', '，', '莫', '待', '无', '花', '空', '折', '枝', '\n', 'C', '.', '溪', '云', '初', '起', '日', '沉', '阁', '，', '山', '雨', '欲', '来', '风', '满', '楼', '\n', 'D', '.', '黑', '发', '不', '知', '勤', '学', '早', '，', '白', '首', '方', '悔', '读', '书', '迟', '\n']","
答案：0,1,3","
【解析】本题考查马克思主义哲学知识。“人生代代无穷已，江月年年只相似”体现了时间的一维性，其表明时间具有单一维度，是线性向前而不可逆的。A项正确，“闲云潭影日悠悠，物换星移几度秋”意为：闲云的影子映在潭中，时日悠悠不尽，事物变换，星座移动，渡过几个春秋。预示着时光的不可逆。B项正确，“花开堪折直须折，莫待无花空折枝”意为：花开的时候，该折的时候就要抓紧去折，不要等到花谢时只折了个空枝。该句反复咏叹强调爱惜时光，莫要错过青春年华。C项错误，“溪云初起日沉阁，山雨欲来风满楼”意为：溪云突起红日落在寺阁之外，山雨未到狂风已吹满咸阳楼。强调的是一种现象，而不是时间的一维性。D项正确，“黑发不知勤学早，白首方悔读书迟”意为：少年时不知道努力学习，老了才知道读书发现太迟了，勉励青少年要珍惜少壮年华，勤奋学习，有所作为，否则，到老一事无成，后悔已晚。故正确答案为ABD。","
来源:2017年河南濮阳市事业单位考试《公共基础知知识》题第50题","
出错率：34.33%","
易错选项：2"
问题:恩格斯提出的哲学基本问题的重要方面是（  ）。,,"
选项：['A', '.', '思', '维', '对', '存', '在', '的', '能', '动', '作', '用', '问', '题', '\n', 'B', '.', '思', '维', '和', '存', '在', '何', '者', '为', '第', '一', '性', '的', '问', '题', '\n', 'C', '.', '思', '维', '和', '存', '在', '的', '同', '一', '性', '问', '题', '\n', 'D', '.', '能', '否', '正', '确', '反', '映', '存', '在', '的', '问', '题', '\n']","
答案：1","
【解析】恩格斯在总结哲学史的基础上第一次明确指出：“全部哲学，特别是近代哲学的重大的基本问题，是思维和存在的关系问题。”哲学基本问题的重要方面是两者谁为第一性，同时也是划分唯物主义、唯心主义的唯一标准。故正确答案为B。","
来源:2014年吉林省延边县市事业单位考试《公共基础知识》题（精选）第1题","
出错率：71.19%","
易错选项：2"
问题:“当我说我写字的桌子存在时，我的意思是我可以看到并触摸到它。”这句话体现的哲学观点是：,,"
选项：['A', '.', '主', '观', '唯', '心', '主', '义', '\n', 'B', '.', '客', '观', '唯', '心', '主', '义', '\n', 'C', '.', '辩', '证', '唯', '物', '主', '义', '\n', 'D', '.', '古', '代', '朴', '素', '唯', '物', '主', '义', '\n']","
答案：0","
【解析】本题考查马克思主义哲学。A项正确，主观唯心主义是把个人的某种主观精神如感觉、经验、心灵、意识、观念、意志等看作世界上一切事物产生和存在的根源与基础，而世界上的一切事物则是由这些主观精神所派生的，是这些主观精神的显现。“吾心即宇宙” 、“存在即被感知”就是典型的唯心主义的观点。“当我说桌子存在，意思是可以看到并触摸”体现的就是存在即被感知的观点，即主观唯心主义。B项错误，客观唯心主义是把客观精神（如上帝、理念、绝对精神等）看作世界的主宰和本源，认为现实的物质世界只是这些客观精神的外化和表现；柏拉图的“理念”、黑格尔的“绝对观念”就是这种作为世界本体的客观精神或原则。题干中并未体现客观精神，非客观唯心主义。C项错误，辩证唯物主义是马克思主义的一种哲学理论，是把唯物主义和辩证法有机地统一起来的科学世界观，是唯物主义的高级形式。辩证唯物主义认为世界在本质上是物质的。题干并未体现辩证唯物主义。D项错误，古代朴素唯物主义是指用某一种或几种具体物质形态来解释世界本原的哲学学说，是唯物主义发展的最初历史形态。它否认世界是神创造的，把世界本原归结为某一种或某几种具体物质形态。题干中并未提到物质形态和本原，非古代朴素唯物主义。故正确答案为A。","
来源:2018年山西省省直部分事业单位考试《综合知识》题（上午场）第2题","
出错率：45.06%","
易错选项：2"
问题:下列观点中，属于唯心主义的是（  ）。,,"
选项：['A', '.', '世', '界', '的', '统', '一', '性', '在', '于', '它', '的', '物', '质', '性', '\n', 'B', '.', '万', '物', '的', '基', '础', '是', '原', '始', '物', '质', '\n', 'C', '.', '天', '际', '万', '物', '皆', '在', '吾', '心', '中', '\n', 'D', '.', '形', '存', '则', '神', '存', '，', '形', '谢', '则', '神', '灭', '\n']","
答案：2","
【解析】本题考查马克思主义哲学中认知哲学来源问题。唯心主义在哲学基本问题上主张精神、意识或理念为第一性，物质为第二性，即物质依赖意识而存在，物质是意识的产物的哲学派别。它是哲学中与思想、心灵、语言及事物等彼此之间关系的讨论及看法。唯心主义又可分为主观唯心主义和客观唯心主义。主观唯心主义把人的主观精神（如人的目的、意志、感觉、经验、心灵等）夸大为唯一的实在，当做本原的东西，认为客观事物以至整个世界，都依赖于人的主观精神。客观唯心主义把客观精神（如上帝、理念、绝对精神等）看作世界的主宰和本原，认为现实的物质世界只是这些客观精神的外化和表现。A项错误，世界的真正的统一性，在于它的物质性，这是辩证唯物主义关于世界统一性的基本原理。这一原理告诉我们，科学的物质概念是世界的物质统一性原理的理论基础，属于辩证唯物主义对整个世界的根本看法。B项错误，毕达哥拉斯在其自然哲学中，一方面认为万物的基础是原始物质，从而构成整个自然界，是一种朴素辩证法的自然观。C项正确，此观点认为心外无物，强调主观看法，故此选项属于主观唯心主义。D项错误，思想只是（物质的）大脑的运作结果，大脑没有了，思想世界也就不存在了，属于唯物论，唯物论认为思维只是人的物质身体的活动结果，这种活动是自然界的高级形式，没有了这种物质身体，也就不存在思维。故正确答案为C。","
来源:2017年湖南省长沙市不动产登记中心公开招聘工作人员考试《公共基础知识》题第6题","
出错率：92.43%","
易错选项：3"
问题:马克思最重要的理论贡献是（  ）。,,"
选项：['A', '.', '辩', '证', '法', '\n', 'B', '.', '劳', '动', '价', '值', '论', '\n', 'C', '.', '唯', '物', '史', '观', '\n', 'D', '.', '剩', '余', '价', '值', '学', '说', '\n']","
答案：2,3","
【解析】马克思毕生最重要的两大理论贡献，就是提出唯物史观和剩余价值理论。唯物史观成为马克思观察分析研究社会历史问题的哲学指导思想；提出剩余价值论，马克思发现了资本主义生产方式和它所产生的资产阶级社会的特殊运动规律。A项错误，辩证法在古希腊哲学界已经出现，并在德国古典哲学得到发展。B项错误，劳动决定价值这一思想最初由英国经济学家配第提出。故正确答案为CD。","
来源:2013年山东省青岛市事业单位考试《公共基础知识》题（部分）第54题","
出错率：37.83%","
易错选项：0"
问题:哲学的党性是指（  ）。,,"
选项：['A', '.', '可', '知', '论', '与', '不', '可', '知', '论', '的', '对', '立', '统', '一', '\n', 'B', '.', '哲', '学', '阶', '级', '性', '，', '在', '阶', '级', '社', '会', '为', '一', '定', '阶', '级', '服', '务', '\n', 'C', '.', '唯', '物', '主', '义', '和', '唯', '心', '主', '义', '的', '根', '本', '对', '立', '和', '斗', '争', '\n', 'D', '.', '辩', '证', '法', '和', '唯', '心', '主', '义', '的', '对', '立', '和', '斗', '争', '\n']","
答案：2","
【解析】哲学的党性是指哲学中存在着的唯物主义和唯心主义的对立和斗争。在哲学两千多年的发展历史中，始终存在着唯物主义和唯心主义这两个哲学基本派别与两条哲学路线的斗争。哲学的党性与哲学的阶级性不是同一概念。哲学的党性与哲学的阶级性是有区别的，哲学的阶级性是指在阶级社会中，哲学从属于一定的阶级，为一定的阶级服务。故正确答案为C。","
来源:2013年11月贵州省遵义市遵义县事业单位考试《综合知识》题第16题","
出错率：41.4%","
易错选项：1"
问题:《庄子与惠子游于濠梁》中，庄子曰：“鯈鱼出游从容，是鱼之乐也。”惠子曰：“子非鱼，安知鱼之乐？”庄子曰：“子非我，安知我不知鱼之乐？”这则故事里面的庄子和惠子属于哪一种哲学派别？（    ）,,"
选项：['A', '.', '辩', '证', '唯', '物', '主', '义', '\n', 'B', '.', '形', '而', '上', '学', '唯', '物', '主', '义', '\n', 'C', '.', '主', '观', '唯', '心', '主', '义', '\n', 'D', '.', '客', '观', '唯', '心', '主', '义', '\n']","
答案：2","
【解析】本题考查马克思主义哲学。这则故事翻译为，庄子说：“鯈鱼在河水中游得多么悠闲自得，这就是鱼儿的快乐呀！”惠子说：“你又不是鱼，怎么知道鱼的快乐？”庄子说：“你又不是我，怎么知道我不知道鱼儿的快乐？”A项错误，辩证唯物主义认为物质世界是按照它本身所固有的规律运动、变化和发展的，事物都是一分为二的。它揭示了事物发展的根本原因在于事物内部的矛盾性，事物矛盾双方又统一又斗争，促使事物不断地由低级向高级发展。题干中没有体现出事物的对立统一的规律。B项错误，形而上学唯物主义（机械唯物主义）把物质归结为自然科学意义上的原子，认为原子是世界的本原，原子的属性就是物质的属性，其具有机械性、片面性、不彻底性，题干中没有体现。C项正确，主观唯心主义认为主观精神是本源的、第一性的，而外部世界的事物则是派生的、第二性的。庄子用自己的主观意识去体会客观事物也就是鱼的思想，而惠子则是用自己的主观意识去判定庄子的主观意识，所以二者都体现了主观唯心主义的思想。D项错误，客观唯心主义认为在物质世界和人类产生之前就独立存在着一种客观精神（理念、理、绝对精神、绝对观念等），这种客观精神在其发展过程中，产生了物质世界。因此，客观精神在先，是物质世界的本原，是第一性的；物质世界在后，是客观精神的表现和派生物，是第二性的。题干没有体现客观唯心主义的思想。故正确答案为C。","
来源:2019年5月11日黑龙江省黑河市北安市事业单位公开招聘《公共基础知识》试题（精选）第35题","
出错率：57.55%","
易错选项：0"
问题:马克思主义是为全人类服务的。,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】本题考查马克思主义哲学。马克思主义是在无产阶级革命实践中产生、发展起来的，是无产阶级根本利益的科学表现，鲜明的阶级性和实践性是马克思主义的根本特性。马克思主义是无产阶级认识世界和改造世界的理论武器。它使无产阶级真正意识到自己的历史地位和作用，从而使无产阶级由自在的阶级发展为自为的阶级，自觉组织起来为本阶级和人类的解放而奋斗。从这样的意义上讲，马克思主义就是无产阶级立场的理论表现，是为无产阶级服务的。故表述错误。","
来源:2018年5月上半年天津事业单位考试《综合知识》（文字综合类）题第40题","
出错率：36.15%","
易错选项：0"
问题:英国的古典政治经济学和法国的空想社会主义是马克思主义哲学的直接来源。（    ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】马克思和恩格斯在创立马克思主义哲学的过程中，批判地继承了德国古典哲学的积极成果，主要是吸取了黑格尔哲学的“合理内核”即辩证法思想和费尔巴哈哲学的“基本内核”即唯物论思想，黑格尔哲学和费尔巴哈哲学的优秀成果是马克思主义哲学的直接理论来源。英国古典政治经济学是马克思主义政治经济学的直接来源，英法两国的空想社会主义是科学社会主义的直接来源。故表述错误。","
来源:2014年青海省事业单位考试《公共基础知识》题第112题","
出错率：68.55%","
易错选项：0"
问题:德国哲学家黑格尔认为，“绝对观念”先于自然界和人类社会而存在，自然界和人类社会是绝对观念外化或异化的结果。这种观点属于（  ）。 ,,"
选项：['A', '.', '主', '观', '唯', '心', '主', '义', '\n', 'B', '.', '客', '观', '唯', '心', '主', '义', '\n', 'C', '.', '主', '观', '唯', '物', '主', '义', '\n', 'D', '.', '客', '观', '唯', '物', '主', '义', '\n']","
答案：1","
【解析】B项正确，客观唯心主义把客观精神（如上帝、理念、绝对精神等）看作世界的主宰和本原，认为现实的物质世界只是这些客观精神的外化和表现。客观唯心主义的哲学观点认为世界是绝对观念的异化，世界是抽离物质的宇宙法则或意念的创造物。因此，黑格尔的观点属于客观唯心主义。故正确答案为B。【补充知识点】主观唯心主义把本体的某种主观精神如感觉、经验、心灵、意识、观念、意志等看作是意识世界中一切事物产生和存在的根源与基础，而意识世界中的一切事物则是由这些主观精神所派生的，是这些主观精神的显现。主观唯物主义就是认为哲学是基于人在世界之中的主体性自我意识的世界观及其相互连通的方法论的学说。客观唯物主义承认“物质第一性，意识第二性”，物质决定意识，认为自然规律改变世界，推动客观世界的发展变化。客观唯物主义认为客观世界自发地接受“客观规律”的作用发展变化。人们不能改变客观世界，认为客观世界是不完全可知的，客观世界是按照自己的规律发展变化的，人们既不能违背客观规律，也不能利用客观规律。","
来源:2013年浙江省衢州市属一期事业单位考试《综合基础知识》题（精选）第22题","
出错率：57.5%","
易错选项：0"
问题:下列选项与“我思故我在”观点相一致的是（  ）。,,"
选项：['A', '.', '存', '在', '就', '是', '被', '感', '知', '\n', 'B', '.', '物', '是', '感', '觉', '的', '集', '合', '\n', 'C', '.', '天', '地', '万', '物', '皆', '在', '我', '心', '中', '\n', 'D', '.', '绝', '对', '观', '念', '是', '世', '界', '本', '质', '\n']","
答案：0,1,2","
【解析】题干中的“我思故我在”属于主观唯心主义的观点，主观唯心论把人的主观精神看成是世界的本原，具有代表性的表述有：我、心、感觉、感知、经验、意志。A项中“感知”，B项中“感觉”以及C项中“我心中”都属于个人的主观精神，三项均是主观唯心主义的观点。D项中的“绝对观念”并不是指人的观念，而是一种“客观”精神，属于客观唯心主义的观点。故正确答案为ABC。","
来源:2014年吉林省事业单位考试《公共基础知识》题第72题","
出错率：36.2%","
易错选项：3"
问题:下列选项中，属于唯心主义哲学代表观点的是（    ）。,,"
选项：['A', '.', '江', '山', '代', '有', '才', '人', '出', '，', '各', '领', '风', '骚', '数', '百', '年', '\n', 'B', '.', '天', '地', '合', '而', '万', '物', '生', '，', '阴', '阳', '接', '而', '变', '化', '起', '\n', 'C', '.', '道', '生', '一', '，', '一', '生', '二', '，', '二', '生', '三', '，', '三', '生', '万', '物', '\n', 'D', '.', '绿', '水', '青', '山', '就', '是', '金', '山', '银', '山', '\n']","
答案：2","
【解析】本题考查马克思主义哲学。A项错误，“江山代有才人出，各领风骚数百年”意思是国家代代都有有才情的人出现，他们各自的影响也不过几百年而已。作者认为诗歌应随着时代不断发展，诗人在创作上应求变创新，而不要刻意模仿。反映的哲理是世界是不断运动发展的。B项错误，“天地合而万物生，阴阳接而变化起”意思是万物都是天地与阴阳变化相互作用的结果，万物的生化是自然而然的，是没有意志与目的的。将世界的本原归结为天地、阴阳，所以是朴素的唯物主义思想。C项正确，“道生一，一生二，二生三，三生万物”认为世界万物是从一个混沌的状态开始，经过一个时期后变成阴阳二气的世界，阳气上升，阴气下降。之后的一个相当长的时期内，由阴阳二气相互作用而产生出第三种物质，即世上的万物。这里把道当作世界的本原，而道是客观存在的，不是人主观创造出来的，所以属于客观唯心主义。D项错误，“绿水青山就是金山银山”是对经济发展与生态保护两者之间辩证统一关系的生动表述，由于人类的实践得出了正确的认识，物质决定意识，属于唯物主义。故正确答案为C。","
来源:2019年下半年四川德阳事业单位考试《公共基础知识》题第5题","
出错率：64.4%","
易错选项：1"
问题:任何哲学的产生都需要一定的自然、社会和经济条件，马克思主义哲学也不例外。19世纪，自然科学已经由“主要是搜集材料的科学”发展为“本质上是整理材料的科学”。下列属于马克思主义哲学产生的自然科学基础的有（  ）。,,"
选项：['A', '.', '万', '有', '引', '力', '定', '律', '\n', 'B', '.', '细', '胞', '学', '说', '\n', 'C', '.', '能', '量', '守', '恒', '和', '转', '化', '定', '律', '\n', 'D', '.', '量', '子', '力', '学', '\n']","
答案：1,2","
【解析】本题考查马克思主义哲学。19世纪自然科学的发展为新世界观的创立提供了必要条件。其中特别是细胞学说、能量守恒和转化的原理及达尔文的生物进化论三大发现，给辩证唯物主义自然观的产生提供了可能。A项错误，万有引力定律是艾萨克·牛顿在1687年于《自然哲学的数学原理》上发表的。可见，万有引力定律的提出是在17世纪，并非19世纪，不属于马克思主义哲学产生的自然科学基础B项正确，细胞学说认为细胞是动植物结构和生命活动的基本单位，是1838～1839年间由德国植物学家施莱登和动物学家施旺最早提出，直到1858年，德国魏尔肖提出细胞通过分裂产生新细胞的观点，才较完善。细胞学说揭示了细胞的统一性。这一学说的建立推动了生物学的发展，并为辩证唯物论提供了重要的自然科学依据。C项正确，能量守恒和转化定律即热力学第一定律，是指在一个封闭（孤立）系统的总能量保持不变。能量既不会凭空产生，也不会凭空消失，它只会从一种形式转化为另一种形式，或者从一个物体转移到其它物体，而能量的总量保持不变。19世纪中叶发现的能量守恒定律是自然科学中十分重要的定律，是自然界普遍的基本定律之一。D项错误，量子力学是研究物质世界微观粒子运动规律的物理学分支，主要研究原子、分子、凝聚态物质，以及原子核和基本粒子的结构、性质的基础理论。经由物理学家的努力，在20世纪初创立量子力学。可见，量子力学的创立是在20世纪，并非19世纪，不属于马克思主义哲学产生的自然科学基础。故正确答案为BC。","
来源:2018年河南省开封市市直机关事业单位考试《公共基础知识》题第63题","
出错率：20.41%","
易错选项：0"
问题:哲学的基本问题是物质和运动关系问题。（    ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】本题考查马克思主义哲学。哲学的基本问题是思维和存在的关系问题，也就是物质和意识的关系问题。故表述错误。","
来源:2017年江西省景德镇事业单位考试精选题第51题","
出错率：88.45%","
易错选项：0"
问题:如果你是鱼，不要迷恋天空，如果你是鸟，不要痴情海洋，诗句表明（    ）。,,"
选项：['A', '.', '矛', '盾', '的', '斗', '争', '性', '寓', '于', '同', '一', '性', '之', '中', '\n', 'B', '.', '追', '求', '真', '理', '是', '一', '个', '永', '无', '止', '境', '的', '过', '程', '\n', 'C', '.', '认', '识', '是', '循', '环', '往', '复', '不', '断', '发', '展', '的', '\n', 'D', '.', '要', '坚', '持', '一', '切', '从', '实', '际', '出', '发', '，', '实', '事', '求', '是', '\n']","
答案：3","
【解析】本题考查的是物质和意识的辩证关系。A项错误，斗争性寓于同一性之中，并为同一性所制约，没有同一性，就没有矛盾统一体的存在，事物同样不能存在和发展。鱼和天空不存在有你就没有我这样的斗争性，鸟和海洋也不存在有你就没有我这样的斗争性，选项说法正确，但与题干无关。B项错误，真理是标志主观与客观相符合的哲学范畴，是对客观事物及其规律的正确反映。题干中没有体现追求真理。选项说法正确，但与题干无关。C项错误，认识是循环往复的，我们这里只提了一次鱼和天空，鸟和海洋，没有提到反复认识发展的过程。选项说法正确，但与题干无关。D项正确，物质与意识的关系，意识对物质有反作用，一切从实际出发，实事求是。天空对鱼来说是遥不可及的，而海对鸟来说是深不可测的，如果不按照自身的实际去做的话，鱼盲目追求天空，鸟盲目追求深海，反而会导致自己的死亡。故正确答案为D。","
来源:2016年吉林省吉林市事业单位公开招聘工作人员笔试《通用知识B卷》精选题第9题","
出错率：83.43%","
易错选项：0"
