"双南带大花园精装修全明户型，三十而已，您的安居选择,https://sh.lianjia.com/ershoufang/107103189754.html"
"南北通格局，链家情感房源，业主诚意出售、精装修、出行方便,核心卖点"
"小区处于内环内，位于中山北路和宁夏路交接，交通便利购物方便。上海本地开发商 华运打造，西部集团持有的物业。小区一个正大门和一个人行通道，角角落落都有监控，24小时保障业主人身和财产安全,小区介绍"
"次套房源是小区内比较新的房龄1994年的，房子是南北通户型，视野没有遮挡，日照充足。装修也属于装修比较不错的，如果咱们这边有兴趣的可以咨询,户型介绍"
"配套齐全，链接两大公园，中山公园和长风公园，两所大学，华东政法大*和华东师范大*。还有位于中山北路3669号华东师范大*旁的“特殊华师大”两大购物乐园，环球港和龙之梦。小区门口，水果店，超市，红酒店，饭店，银行。,周边配套"
"精装修的，房子保养的也好，出租、自住两相宜，好出租。随时可看,装修描述"
"小区出门向右转448米（来自百度地图）金沙江路地铁站3/4/13号线，公交：67路;69路;224路;309路;754路;765路;829路;856路;909路 内环高架就在旁边，开车也方便，四通八达,交通出行"
"金坤花园 1室1厅 南,https://sh.lianjia.com/ershoufang/107103158841.html"
"房屋户型,1室1厅1厨1卫"
"所在楼层,中楼层 (共6层)"
"建筑面积,42.32㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯四十三户"
"配备电梯,有"
"沁秋小区，全明户型，满五唯一，精装修，楼层好。,https://sh.lianjia.com/ershoufang/107103130605.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,中楼层 (共6层)"
"建筑面积,59.86㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯四户"
"配备电梯,无"
"满五唯一，拎包入住，诚意卖，全明，楼层好,核心卖点"
"小区环境闹中取静，忙碌的工作之后在家中享受静谧的时光，也是一种小确幸。,小区介绍"
"南北两房，主卧朝南带阳台和天井，厨卫有窗户，楼层好，看房方便,户型介绍"
"家有老人：楼层低出行方便，有公园、医院、商场和菜市场等配套。,适宜人群"
"西郊百联购物广场，小区东门福泉路上就有菜市场，长宁同仁医院，淞虹路地铁站2号线 ,可绿苑,周边配套"
"1.距2号线淞虹路地铁站700米左右 2.门口可成141，121路公交车，西出门有直达华漕大润发超市的班车，200米左右还有88路公交车 3.还有现在出行使用较多的共享单车如摩拜单车等，体量比较大。,交通出行"
"来惠南必看好房 满五唯一  业主诚意急卖 只等有缘人,https://sh.lianjia.com/ershoufang/107103104666.html"
"房屋户型,3室2厅1厨2卫"
"所在楼层,中楼层 (共11层)"
"建筑面积,121㎡"
"户型结构,平层"
"套内面积,100㎡"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,一梯两户"
"配备电梯,有"
"满五唯一 一手动迁电梯房，楼层适中，前无遮挡，采光好。,核心卖点"
"小区环境优雅成熟，24小时安保，安全又贴心，居住人群人文素养高。得房高，绿化好。,小区介绍"
"3房2卫，适合一家人居住，各个功能间分开，互不干扰。有电梯，老少适宜，小区里有健身场所以及小孩子游乐场，氛围好。,适宜人群"
"房龄新，环境好，楼层好，无遮挡采光好，格局好，户型正气。。。。,户型介绍"
"业主诚心出售，自住装修，保养的挺不错的，准备置换别的区域所以把房子给卖掉。,售房详情"
"距离地铁站近，16号线换2号线到市区，交通方便。配套齐全，满足日常生活所需，吃饭逛街都很便利。,周边配套"
"满五唯一，南北通，西边套，天井搭房间，房东诚心出售,https://sh.lianjia.com/ershoufang/107102931062.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,低楼层 (共6层)"
"建筑面积,46.04㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南 北"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯四户"
"配备电梯,无"
"满五唯一，南北通，西边套，天井搭房间，房东诚心出售,核心卖点"
"此房是宜川一村的南北通的西边套全明两室户，通风好，采光好，边套全明。,户型介绍"
"小区在宜川板块属于中间位置，至3/4号中潭路、7号线新村路、1号线延长路都是差不多的距离，出门有公交出行和生活也是较为便利的，小区门口处有世纪华联，齐百汇超市，及宜川较大的合阳菜场,周边配套"
"一般居家装修，干净清爽，对于装修没有很大的要求可以拎包入住，也可以根据自己喜欢的风格进行改造,装修描述"
"交通出行： 出行方便，出门离公交车站224、41、47、78.510.869.849路公交仅百米，还有3/4号线中潭路地铁站,交通出行"
"阳光苑民耀路268弄 2室1厅 南,https://sh.lianjia.com/ershoufang/107102754139.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,中楼层 (共7层)"
"建筑面积,74.27㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,简装"
"梯户比例,一梯四户"
"配备电梯,无"
"少有一房 小户型  总价低 采光充分  视野开阔,https://sh.lianjia.com/ershoufang/107103181910.html"
"房屋户型,1室1厅1厨1卫"
"所在楼层,高楼层 (共5层)"
"建筑面积,39.33㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南 北"
"建筑结构,砖混结构"
"装修情况,简装"
"梯户比例,一梯三户"
"配备电梯,无"
"少有一房 小户型  总价低 采光充分  视野开阔 税费少,核心卖点"
"小区大多为1985到1987年的商品房，小区配套比较完善，小区内有 荡湾幼儿园，孩子上学方便，平时生活也很便利，乐购，永乐，苏宁易购，上蔬永辉等，买菜100米有菜市场，地铁16号线，出行方便门口就有公交车直达！,小区介绍"
"医疗：浦东医院，南汇光明中医院，南汇妇幼保健院，福华医院等等 商超：欧尚超市，华润万家，上蔬永辉，禹州广场等等 小区东门，有吴老幺火锅，重庆鸡公煲，倪氏龙虾，湘聚楼，东北菜，食三姨麻辣烫等等。,周边配套"
"此房满五年不唯一，税费要1%个税。1%契税（二套3%）。总价低，税费少。,税费解析"
"小区出门就是南汇汽车总站，公交可直达上海各个区域，最近的轨道交通16号地铁站点只有1200米， 可乘公交站，有惠南3路，芦杜专线，1038路，浦东55路，浦东57路直接到达16号线惠南地铁口。,交通出行"
"杨思前滩+世博家园+一览纵山小+高区采光好+位置佳,https://sh.lianjia.com/ershoufang/107103191313.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,中楼层 (共17层)"
"建筑面积,74.44㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,一梯四户"
"配备电梯,有"
"电梯双南两房 精装修 电梯高层，视野开阔,核心卖点"
"小区为2006年世博会动迁安置房，安置人员将近12646户，领导高层很重视，是动迁房中的标杆项目，小区物业管理以及环境在动迁房中出类拔萃，居住舒适度高，中环内，06年小区，多层物业费0.75元，电梯1.15元，停车随到随停，停车充裕,小区介绍"
"小区生活设施齐全，06年房龄新，且房价相对低，交通方便，买这个小区的主要客户群体是： 1.张江、陆家嘴一带……上班的年轻人 2.三林、北蔡、御桥一带……置换的客户 3.新上海买首套以及年轻人买婚房,适宜人群"
"三林世博家园有成熟的配套系统。小区100米内，社区卫生服务医院，养老院，爱博菜市场，世博主题公园，美食广场，长青生活广场，超市银行。大型烧烤店，川中火锅，三林超高人气中餐排行榜前15的蓝月湖酒楼等。300米家乐福超市。2公里，上海农批，巴黎春天,周边配套"
"房子是精装修的，装修很用心，保养的也很好，如果不打算重新装修，可以拎包入住。,装修描述"
"三条地铁：11号线浦三路站、6号线高青路站、13号线华鹏路站，都有直达公交，两站可到。 公交配套：604路 、 83路、789路、784路、607路、988路、1025路、隧道一线、隧道九线等。 高架：中环高架入口2公里，内环高架入口4.7公里左右，不上高架走中环1.5公里,交通出行"
"平进平出，税费少，边套全明，高区采光 业主诚意出售,https://sh.lianjia.com/ershoufang/107103111246.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,高楼层 (共24层)"
"建筑面积,71.61㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,塔楼"
"房屋朝向,南 北"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,两梯八户"
"配备电梯,有"
"平进平出 税费少 边套全明 高区采光 业主急售 急售 急售,核心卖点"
"1、适合年轻单身的新上海人，或者小夫妻，户型正气的两房，居住起来忒别的舒服 ； 2、也适合做婚房使用，主卧带阳台，客厅很正气也很舒服； 3、适合老年人养老，电梯房上下楼方便，小区中间位置，安静不吵不靠马路，房子面积大，功能间分明,适宜人群"
"该房源是两梯八户，呈十字状，本房源进门是客厅，客厅再往里走是两个房间，厨房位于两个房间中间，因为是最早一批电梯房，故使用材料比较好，房子冬暖夏凉，很不错，不管是自住还是出租都是一个很好的选择。,户型介绍"
"1、地铁：二号线，十号线。 2、茜茜幼儿园、东展幼儿园。 3、商场：缤谷广场、星空广场、金虹桥、南丰城等。 4、超市：家乐福、百联西郊购物。 5、菜场：安龙路菜市场、新渔路菜场,周边配套"
"2号线威宁路500.米。十号线水城路一公里。出门就是公交车：836、88、827、856、829、941等多条公交。,交通出行"
"明星楼盘，精装朝南，94年楼龄，满五税少，全明采光好,https://sh.lianjia.com/ershoufang/107103183746.html"
"房屋户型,1室1厅1厨1卫"
"所在楼层,中楼层 (共7层)"
"建筑面积,38.8㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,混合结构"
"装修情况,精装"
"梯户比例,一梯六户"
"配备电梯,无"
"此房满五税少，朝南带阳台，精装修全明，采光视野好，诚意出售,核心卖点"
"《蒙西小区》被誉为五里桥明星楼盘，小区环境和物业管理到位，1994年新楼龄，楼道干净整洁，小区自带吉德堡幼儿园，小区自带大型蒙西菜市场，地段好，出门丽园公园,小区介绍"
"此房为蒙西小区朝南大一室，得房率高，精装修拎包入住，全明户型，采光好，视野佳,户型介绍"
"本房适合家庭居住，精装修，拎包入住，朝南大一室带阳台，活动空间大，居住舒适，生活便利,适宜人群"
"出小区就是徐家汇路马当路路口的凯德晶萃广场，环宇荟地下美食城，举步即到，步行到新天地的复兴SOHO，地铁一站到打浦桥的日月光和瑞金医院，步行到第九人民医院,周边配套"
"地铁双轨交接处，出门就是马当路地铁，分别是9号线和13号线。横纵2条线路去哪都便捷。上高架直通南北高架,交通出行"
"配套成熟，采光没有遮挡，近地铁,https://sh.lianjia.com/ershoufang/107103192082.html"
"房屋户型,1室0厅1厨1卫"
"所在楼层,中楼层 (共5层)"
"建筑面积,32.56㎡"
"户型结构,暂无数据"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯八户"
"配备电梯,无"
"此房主卧朝南，户型方正，高楼层采光好，无遮挡，,核心卖点"
"此房主卧朝南，餐厅厨房朝北有窗 ，户型方正，低楼层，    总价低,户型介绍"
"港汇，美罗城，光启城，徐家汇1/9/11号线，交通大学10/11号线，虹桥路地铁站3/4/10号线,周边配套"
"此房是售后公房，满五不唯一，首套房，有一个点契税，二套房，有三个点契税。,税费解析"
"无抵押无贷款，正常签约，随时交易，业主诚意出售，看房方便，提前预约。,权属抵押"
"徐家汇1/9/11号线，交通大学10/11号线，虹桥路地铁站3/4/10号线,交通出行"
"店长推荐+上海南站+非顶楼+双南大两房+售后公房,https://sh.lianjia.com/ershoufang/107102943394.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,高楼层 (共6层)"
"建筑面积,74.35㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯四户"
"配备电梯,无"
"售后公房  税费少  采光充足  非顶楼  交通方便  双南两房,核心卖点"
"小区始建于 1997 年，近上海南站，交通便利。小区位于徐汇区龙川北路，东面靠4A 级景区上海植物园，空气清新景色宜人。北面即上海南站， 1、3、15 号线、金山小火车交汇，出行方便。小区由金牛物业负责，24 小时有保安巡逻，安全有保障,小区介绍"
"此房是双南大两房，卧室空间大，各功能间分布合理，动静分离，房子位于小区中间位置，不靠马路，不靠嫌恶设施，房子前方无遮挡，采光充足,户型介绍"
"有汇京奥特莱斯，家乐福，沃尔玛生活设施众多，4A级上海植物园，大华医院，小区内也有医务室，基本满足日常所需，出门100米便是菜市场，生活气息十足。,周边配套"
"出门就是上海南站地铁站地铁二号口，地铁口可直达一号线三号线。上海南站是徐汇区西南部唯一的交通枢纽，有地铁交通，可直达市中区域。有客运站火车站，可直达长三角城市群。交通便利，通行顺畅。,交通出行"
"此房子没有抵押，没有查封，产权清晰，提前约看房一般都方便的。,权属抵押"
"双轨交通地铁站旁，凤凰楼层通风采光好，随时可看,https://sh.lianjia.com/ershoufang/107103042986.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,高楼层 (共24层)"
"建筑面积,83.57㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,塔楼"
"房屋朝向,西南"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,两梯六户"
"配备电梯,有"
"总价低，电梯房，双轨交通，高区采光视野好，通风好,核心卖点"
"售房原因：业主想置换的，诚意出售的。房屋现状：提前预约随时可看，业主随时可以签约，房子只有一个户口，可以迁出。,售房详情"
"这套房子是98年的商品房，有电梯的，房型方正，厨卫也是全明的，采光通风都很好,户型介绍"
"位于老曹家渡板块，电梯房，户型方正，适合一家三口带个小孩的住户，或者是一对老年夫妻，空间足，居住舒适，小区房子得房率高！,适宜人群"
"配套齐全，武宁路家乐福，悦达889广场，King88商务广场，星芳汇广场想要的消费场所一应俱全。 交通：主要以地铁为主，13/14号两条很好的线路都在小区门口通过。经过南京西路、新天地、到达陆家嘴。 公交车很多，24.23.759.等等小区旁50米就是13号线武宁路..,周边配套"
"长寿路和武宁南路路口就是13号线武宁路站，距离小区100米，14号线武宁路站（在建）,交通出行"
"全屋智能  zhongyang空调加地暖  居住舒,https://sh.lianjia.com/ershoufang/107103177618.html"
"房屋户型,1室1厅1厨1卫"
"所在楼层,中楼层 (共34层)"
"建筑面积,58.65㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,两梯四户"
"配备电梯,有"
"设计好，小区卖的一房特有设计，懂设计的和房屋装修的会体会妙处,核心卖点"
"此小区是2014年的动迁房小区，房龄新，小区无人车分流，设有地下停车位，需业主才能申请。环境舒适，小区居住人群主要是漕河泾上班的白领租户以及动迁安置的业主，整体素质相对较高。小区物业是汇成物业。,小区介绍"
"1 适合漕河泾上班的白领和小夫妻入住 上班方便 
2  适合12号线坐地铁上班的上班方便
3  适合给家里老人买电梯房改善养老,适宜人群"
"房子是一房一厅，客厅朝南 主卧朝南 厨房朝南 卫生间朝东 采光好,户型介绍"
"小区处于田林，康健，漕河泾板块的交界处，大型商超有沃尔玛日月光等，电影院，美食一应俱全，医院方面有上海市第六和第八人民医院，桂林公园及康健园也是步行可达，平时生活休闲都十分方便。,周边配套"
"小区东南边是12号线地铁虹漕路站，步行即可到，公交同样便利，门口有3个公交站台，92，93，171，186，909等多路公交经过，可达市区，南京西路徐家汇等出行相当便利,交通出行"
"南北通两房，中间楼层，不靠马路，满五唯一,https://sh.lianjia.com/ershoufang/107103125635.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,中楼层 (共5层)"
"建筑面积,75.93㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南 北"
"建筑结构,钢混结构"
"装修情况,毛坯"
"梯户比例,一梯两户"
"配备电梯,无"
"动迁，满五唯一，南北通两房，中间楼层，不靠马路，满五唯一,核心卖点"
"【开发公司】上海世博土地控股有限公司【物业公司】上海闵行陈行物业管理有限公司【物业费】1.3 元/月/m²【建成年代】2006 年【楼幢总数】37 幢【房屋总数】738 户【停车服务费】80/月【车位配比】1：0.7,小区介绍"
"世博家园十五街坊75.93平方两房，一房朝南一房朝北，客厅餐厅南北通，朝南卧室都带有飘窗，客厅朝南带有阳台，厨房朝北，卫生间在两个卧室中间。,户型介绍"
"江月路地铁站旁有浦江生活广场和卜蜂莲花商超，内有华士电影院，距小区1.4公里（百度地图数据），有浦驰路生活一条街，满足日常生活所需，还有浦江世博家园菜市场，菜品丰富，增添生活好滋味，还有美味小吃等着您,周边配套"
"房子是原动迁的，房子满五年唯一，没有增值税，没有个税，首套房1%契税，二套3%契税,税费解析"
"小区东门有公交浦江17路，可直达江月路地铁张，浦江生活广场，仁济南院（三甲），复旦眼耳鼻喉医院（三甲），小区东门步行到联航路地铁站900米（百度地图数据），小区北门163路公交可直达林兆新村,交通出行"
"业主急售，房子已定。楼层高，视野好，南北通大两房。,https://sh.lianjia.com/ershoufang/107103064859.html"
"房屋户型,2室2厅1厨1卫"
"所在楼层,中楼层 (共13层)"
"建筑面积,106.2㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南 北"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,一梯两户"
"配备电梯,有"
"楼层高，视野好，临河景观，大两房户型正。,核心卖点"
"南北通户型，每个卧室都带飘窗，餐厅还带小阳台厨房朝北而且很大。,户型介绍"
"小区地处九亭大街繁华地段，配套成熟！ 超市：有易胜客，联华等大型超市，旁边有九亭农贸市场，生活方便！银行：建，农，工，商等四大银行就在小区500米，还有上海银行，浦发银行等！公园：九科绿洲，距小区1公里！,周边配套"
"装修保养很好，基本上可以拎包入住，厨房卫生间装修也比较新，拎包入住,装修描述"
"到9号线九亭地铁站2000米左右，出门有多路公交40路，43路，89路等四站直达9号线地铁，步行500米到九亭大街，有92b到上海体育馆，759到莘庄北广场1号地铁站，出行方便！200米有九亭农贸市场。,交通出行"
"新凯四期一房，户型方正，楼前无遮挡。一手动迁。,https://sh.lianjia.com/ershoufang/107103027243.html"
"房屋户型,1室1厅1厨1卫"
"所在楼层,低楼层 (共11层)"
"建筑面积,52.92㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,简装"
"梯户比例,两梯四户"
"配备电梯,有"
"新凯四期一房，户型方正，楼前无遮挡。一手动迁，税费少。,核心卖点"
"小区门口就是191路，191B线两班公交，直达泗泾地铁站，佘山地铁站。本小区位于桂花锦苑小区，该小区建于2013年，开发商上海韵意房地产开发有限公司，物业费是1.45元，由上海新凯物业管理公司，小区共计32栋楼，在小区景观位置，民水民电，为您生活舒适提供..,小区介绍"
"52.92平米的一室一厅，主卧朝南，客厅朝南带阳台，房子的格局是中间套朝南户型，标准的一室一厅，户型中正，采光时间充足，干湿分离，无遮挡物，视野广阔。,户型介绍"
"小区以动迁房为主，小户型，没有增值税，税费少，总价低，适合刚需客户；松江泗泾空气好，旅游景点多，适合老人居住养老。,适宜人群"
"小区门口就是191路，191B线两班公交，直达泗泾地铁站，佘山地铁站。小区门口就是191路，191B线两班公交，直达泗泾地铁站，佘山地铁站。,交通出行"
"一手动迁税费少，价格优惠！方正户型！业主诚售！,https://sh.lianjia.com/ershoufang/107103184591.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,低楼层 (共16层)"
"建筑面积,70.74㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,简装"
"梯户比例,两梯四户"
"配备电梯,有"
"一手动迁税费少，价格优惠！方正户型！业主诚售！,核心卖点"
"本房位于城鸿路222弄银杏苑，该小区始建于2012年，小区的物业费用为1.23平米/月，由玉星物业公司管理，有（地上/地下）车位，并且小区设立门禁且小区内有保安巡逻,小区介绍"
"产权清晰税费少，首套房个税一个点, 契税客户首套1个点 ，二套3个点,税费解析"
"万达广场，奥特莱斯，泗泾老街，泗泾公园，佘山森林公园， 欢乐谷，门口公交车到泗泾大润发很方便的，目前佘山站出口4万方综合体（已经封顶），新凯二期北门有一个8万多平方的广场综合体正在建造。,周边配套"
"九号线佘山站，公交线路有191路，45路，186路，沪陈线等，小区门口有共享单车，交通便利，另有大润发班车穿行。17号线直达虹桥机场,交通出行"
"电梯南北两房，目前在售总价比较低的电梯房,https://sh.lianjia.com/ershoufang/107102605282.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,低楼层 (共15层)"
"建筑面积,63.83㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,塔楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,简装"
"梯户比例,两梯二十户"
"配备电梯,有"
"电梯南北两房，目前在售总价比较低的电梯房,核心卖点"
"小区为1988年单位建造福利分房，位于斜土路小木桥路路口，单栋小区，两梯20户，总高15楼，正看日晖绿地。生活配套成熟：医疗（中山医院、肿瘤医院）交通（地铁4号线、12号线大木桥路站，9号线嘉善路站）,小区介绍"
"孕婴老幼：本房目前是出租，新装修，无甲醛，人车分流，人文环境好。 首付不高：贷款方式不限，适合首付不多的小两口。 家有老人：电梯房，配套齐全，近中山医院。,适宜人群"
"小区旁边就是日晖绿地，是一个小型的公园，距离徐汇滨江2公里路程，配套有打浦桥的日月光，龙华中路旁的正大乐城和绿地缤纷城，医疗有中山医院和瑞金医院，都是上海比较优质的专科医院。,周边配套"
"此房无抵押贷款，里面有户口，可以迁出，产权清晰，所以产权也很清晰，可以放心购买。,权属抵押"
"距离4号线12号线大木桥路地铁站3号口710米（数据来源于百度地图） 距离斜土路大木桥路公交站台50米（数据来源于百度地图）,交通出行"
"秀苑小区新出房源+售后公房+满五唯一+带有窗阁楼,https://sh.lianjia.com/ershoufang/107103159024.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,高楼层 (共6层)"
"建筑面积,68.01㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南 北"
"建筑结构,砖混结构"
"装修情况,简装"
"梯户比例,一梯两户"
"配备电梯,无"
"此房是售后公房，且满五年唯一，带有窗阁楼，全明户型。,核心卖点"
"小区是94年~02年的房龄，分别分为多层和高层电梯房。小区环境好，绿化较高。,小区介绍"
"房龄是96年，客厅朝南有窗，主卧朝南带阳台，次卧朝北，厨卫朝北。有个带窗的阁楼，全明的户型。,户型介绍"
"售房原因：业主是一手买进，现在考虑置换到其他的区域，所以诚意出售。,售房详情"
"此房产权干净清晰，没有抵押，没有贷款，您不用担心此类问题，可放心购买。,权属抵押"
"邻汶水路高架出口，出行十分方便。小区出门就是132路, 134路, 142路, 518路, 853路 .59路 .21路等多路公交。门口是广灵四路，现与新静安的灵石路已经连接，去静安再也不用绕路，直行就到。轻轨有3号线，1号线（19号线以公告为准）。,交通出行"
"沿河景观  位置好  精装修  楼层好 视野佳,https://sh.lianjia.com/ershoufang/107103150548.html"
"房屋户型,2室2厅1厨1卫"
"所在楼层,中楼层 (共9层)"
"建筑面积,84.18㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南 北"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,一梯三户"
"配备电梯,有"
"此房采光充足 通风好 居住舒适 配套成熟 交通便利,核心卖点"
"医 院：泗泾医院、松江第 一人民医院等 银 行：中国银行、农业银行、工商银行、建设银行等 商 业：三湘商 业广场、大润发、家乐福、保利悦活荟等 公 园：泗泾公园、佘山植物园、佘山国家森林公园等,周边配套"
"小区位于泗泾板块，在九号地铁线泗泾地铁站和佘山地铁站之间，门口就是公交站，有191路，47路，1845路等直达地铁站，到漕河泾，徐家汇等十分方便,交通出行"
"1楼带花园，新装修（花了重金），真正的拎包即住,https://sh.lianjia.com/ershoufang/107103039180.html"
"房屋户型,3室2厅1厨2卫"
"所在楼层,低楼层 (共6层)"
"建筑面积,65.35㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯四户"
"配备电梯,无"
"带花园，新装修实用小三房，真正的拎包即住,核心卖点"
"一楼带约12平米天井，西边间南 北 通 风，原始2房改成了小3房，很实用,户型介绍"
"业主家的孩子计划要在虹鹿 幼 儿 园上学的，所以重金装修了此房，用于一家人自住。现在孩子也被浦东的国际学 校录取，最 后决定让孩子去读国际学 校。所以置换掉这套去国际学 校旁再买。,售房详情"
"一公里范围内有两家公立医院，其中上海武警医院为三甲医院，上海市闵行区中医院为二甲医院，商场有宝燕一号，爱琴海购物广场,周边配套"
"进口德国威能地暖、菲林格尔地板、东鹏瓷砖老板厨具、科勒洁具卫浴，灯大部分是进口的，窗帘、伸缩雨棚、鞋柜都一应俱全。院子也用竹子加固了，院内有太阳能灯也有通电灯，院里也有水龙头，方便浇花,装修描述"
"小区位于虹中路780弄，距离71路中运量快速公交120米，距 10号线 1.1公里（百度地图），开车上延安高架方便快捷,交通出行"
"此房满五年，南北两房通透，通风采光良好，诚意出售,https://sh.lianjia.com/ershoufang/107103139811.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,中楼层 (共6层)"
"建筑面积,70.04㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南 北"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯两户"
"配备电梯,无"
"此房买进满五年，南北两房通透户型，通风采光良好，诚意出售,核心卖点"
"洋泾花园城位于苗圃路近栖山路，是2000年所建造的楼盘。小区以多层建筑为主，区内有一些休闲的长椅和儿童乐园等设施。在绿化设计方面，处了区中的花坛之外，其他基本以楼栋之间的主团绿化。配套较为齐全，有公利医院、超市、购物广场等，,小区介绍"
"此房2000年建成，一梯两户，南北两房，一个卫生间，一房朝南，一房朝北通透户型，中间是厅，通风采光良好。,户型介绍"
"小区为1997-2000年的商品房，小区环境好，绿化高。适合一家人居住，小年轻夫妻或者老人居住。出门既是大型的超市，购物便利；生活配套齐全。,适宜人群"
"洋泾属于内环内地段，是离陆家嘴最近的一个区域！所以旁边配套还是比较完善的，例如：医疗我们有公立医院，商/业有旭辉置业广场，光合新做，旁边有中国银行，建设银行，上海银行，江苏银行。超市、饭店、花园等配套齐全。,周边配套"
"大家都知道，在上海最不缺的就是交通！可是能够做到出门即到，而且通往各个区域的房源极为少数的。而这套房源，可以满足的的一切需求，我们属于三轨（6号线-14号线-18号线) 大家都知道14号线是个大工程，2021年初就通车啦,交通出行"
"满五唯一，精装修可拎包入住，楼层好，采光无遮挡,https://sh.lianjia.com/ershoufang/107103139813.html"
"房屋户型,1室1厅0厨1卫"
"所在楼层,中楼层 (共6层)"
"建筑面积,45.03㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯五户"
"配备电梯,无"
"此房满五唯一，楼层好，采光无遮挡，房东诚意出售,核心卖点"
"小区位于杨浦区中原板块好位置，进地铁8号线嫩江路站，小区绿化好，自带幼儿园。,小区介绍"
"户型方正 无遮挡，采光充足，户型正气，格局好，配套-设施齐全，房东诚意出售,户型介绍"
"提前约基本都可以看房，房东诚意出售，满五唯一的，房东卖掉是变现的,售房详情"
"全屋精装修，家电家具保养很好，房东自住，装修材质环保，房屋装修细节设计合理，买入可直接拎包入住或出租。,装修描述"
"小区共有多个出口，出中原路门就是地铁8号线嫩江站4号口，中原路出口有813，842，28，522，577，大桥三线等多路公交车,交通出行"
"买入价高税费低，精装自住装修，满五唯一，诚心出售,https://sh.lianjia.com/ershoufang/107103183330.html"
"房屋户型,3室1厅1厨1卫"
"所在楼层,中楼层 (共5层)"
"建筑面积,78.44㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
